original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,imdb_id,status,revenue,budget,collection,productions,genres,release_year
Вовка и зима в Тридевятом царстве,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/veQi2EgJUuCq8Z9WgxCGHCaJ9Xh.jpg,2021-12-31,Вовка и зима в Тридевятом царстве,4.0,1,,Released,0,0,,[],['Animação'],2021
Rescuing a Fantasy Classic,,0.6,,2021-12-31,Rescuing a Fantasy Classic,7.0,1,,Released,0,0,,['Signal Hill Entertainment'],['Documentário'],2021
Diomar,,0.6,,2021-12-31,Diomar,0.0,0,tt13598760,Released,0,0,,[],['Documentário'],2021
Bien parecidas,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/4RMaAlAjAqCSCHYTJHT26IlK8LM.jpg,2021-12-31,Bien parecidas,0.0,0,,Released,0,0,,"['Villanos Cine', 'Ácidas Films', 'Fire Pit Studios']",['Drama'],2021
Hay algo que no he dicho,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/2dh2coQRwJ2F8U3z9MltcShNIWi.jpg,2021-12-31,Hay algo que no he dicho,0.0,0,,Released,0,0,,[],[],2021
"3 días, 3 años",,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/frUMaNFezJW5dWErxC9oV3GEu9A.jpg,2021-12-31,"3 días, 3 años",0.0,0,,Released,0,0,,[],['Documentário'],2021
Tan cerca y tan lejos,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/c2BOpZxGTrgbbBTtE0Z0ma6adyd.jpg,2021-12-31,Tan cerca y tan lejos,0.0,0,,Released,0,0,,[],[],2021
Pequeño homenaje a David Foster Wallace,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/d8ePeoFKCdMoSR5Z6Y9qiz3mG0w.jpg,2021-12-31,Pequeño homenaje a David Foster Wallace,0.0,0,,Released,0,0,,[],[],2021
Mientras tanto,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/7DCKXfrpUo9YH7bEgRFzFWoJVIO.jpg,2021-12-31,Mientras tanto,0.0,0,,Released,0,0,,[],[],2021
Gambote,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/fXw2DO2F77rOEs6UxkpwHomSBbI.jpg,2021-12-31,Gambote,0.0,0,,Released,0,0,,[],[],2021
Soliloquy,,0.938,https://image.tmdb.org/t/p/w220_and_h330_face/7fESx9F3ERERWdP7fKXIM9qnr05.jpg,2021-12-31,Soliloquy,8.0,1,,Released,0,0,,[],[],2021
Dans les secrets des francs-maçons,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/5YxPlj0pftW1vkbxKTYbRg7v1XS.jpg,2021-12-31,Dans les secrets des francs-maçons,0.0,0,tt22816520,Released,0,0,,[],['Documentário'],2021
Hands,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/cuhuJI1dMtXxY85cC4QoI93mrxI.jpg,2021-12-31,Hands,0.0,0,tt15455620,Released,0,4000,,['Frasse Films'],['Drama'],2021
Dirty Tesla,,0.6,,2021-12-31,Dirty Tesla,0.0,0,,Released,0,0,,[],['Documentário'],2021
Tatak Thyro Concert,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/73nNngsod6yeGm5u8grBBpAHGr7.jpg,2021-12-31,Tatak Thyro Concert,0.0,0,,Released,0,0,,[],[],2021
Watermelons,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/um4dkjVAhhVCaL6ZEiJVw9daYKM.jpg,2021-12-31,Watermelons,10.0,1,,Released,0,80,,['mr. soupman'],['Comédia'],2021
Subserotic Bulge,,0.6,,2021-12-31,Subserotic Bulge,0.0,0,,Released,0,0,,[],[],2021
When Were You Born?,,0.6,,2021-12-31,When Were You Born?,0.0,0,,Released,0,0,,['Academy of Moving People and Images'],['Animação'],2021
Last Seen,,0.655,https://image.tmdb.org/t/p/w220_and_h330_face/8sovG5PBySo8HtMHt6yRr2fnsJD.jpg,2021-12-31,Last Seen,0.0,0,tt17012832,Released,0,0,,[],[],2021
Ko je smestio Jastrebu?,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/kBdqfKoThL67u5jmh9B53RhFlDg.jpg,2021-12-31,Ko je smestio Jastrebu?,0.0,0,tt21095478,Released,0,0,,['Tetreb film'],['Comédia'],2021
Elward,,0.6,,2021-12-31,Elward,0.0,0,,Released,0,0,,[],[],2021
Chitrangi,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/6kQXYu0DhJCYm9wTy8GLI1UgmrW.jpg,2021-12-31,Chitrangi,0.0,0,,Released,300,200,,['sandhya motion pictures'],"['Romance', 'Crime']",2021
Puutarha,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/kiTOyWsm0Q0oslUcil95vJpj6RS.jpg,2021-12-31,Puutarha,0.0,0,,Released,0,0,,['Minna Havukainen tuotanto'],['Documentário'],2021
"Françoise Dorléac, de L'Homme de Rio aux Demoiselles de Rochefort",,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/7scfIixcYpxeXRl2WAqDWVOHjmb.jpg,2021-12-31,"Françoise Dorléac, de L'Homme de Rio aux Demoiselles de Rochefort",0.0,0,,Released,0,0,,[],['Documentário'],2021
U -Turn,,0.664,https://image.tmdb.org/t/p/w220_and_h330_face/flLa1NjaqHNi9qAZEaQTw9nD12G.jpg,2021-12-31,U -Turn,0.0,0,tt16476120,Released,0,0,,[],['Terror'],2021
魔法科高校の劣等生 追憶編,,2.603,https://image.tmdb.org/t/p/w220_and_h330_face/bOu9fBe3LlDYULFeVPiLN69WN05.jpg,2021-12-31,魔法科高校の劣等生 追憶編,8.0,2,tt15497404,Released,0,0,,[],['Animação'],2021
Cleaning House,,0.895,https://image.tmdb.org/t/p/w220_and_h330_face/79XOXyvjbKCPdOS1iHDfCtkcgWT.jpg,2021-12-31,Cleaning House,0.0,0,,Released,0,12,,[],"['Drama', 'Terror']",2021
まん開ヒールズ 女の魔剣と熟女のアソコ,,0.734,https://image.tmdb.org/t/p/w220_and_h330_face/dWDsBB0FAQYzqyVUQmrPEEme2U2.jpg,2021-12-31,まん開ヒールズ 女の魔剣と熟女のアソコ,0.0,0,tt16932106,Released,0,0,,[],['Drama'],2021
Nonstop,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/nS4qT2qmdMajZawOJ3zrKQChwEu.jpg,2021-12-31,Nonstop,0.0,0,,Released,0,0,,[],['Documentário'],2021
אסי לא גר כאן,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/vdXNr4NsuMJaIJemyGMsSQRCmsg.jpg,2021-12-31,אסי לא גר כאן,0.0,0,tt16746278,Released,0,0,,[],[],2021
The Sound of Rain,,0.6,,2021-12-31,The Sound of Rain,0.0,0,,Released,0,0,,[],['Drama'],2021
Great Beast Barrigular,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/hbmWI6X42FmSrgbUp3ES392NtRZ.jpg,2021-12-31,Great Beast Barrigular,0.0,0,,Released,0,0,,[],[],2021
மதுரை மணிக்குறவர்,,1.4,https://image.tmdb.org/t/p/w220_and_h330_face/2pEvOuPNQdoKIamrNo2pYWcWrTM.jpg,2021-12-31,மதுரை மணிக்குறவர்,0.0,0,tt10980876,Released,0,0,,[],"['Ação', 'Drama']",2021
Frank The Pig,,0.6,,2021-12-31,Frank The Pig,0.0,0,,Released,0,0,,[],['Animação'],2021
Seventy Times Seven,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/5aiWjszOlAqE7Wo5KFCfs20bQeh.jpg,2021-12-31,Seventy Times Seven,0.0,0,tt15015588,Released,0,0,,['444 Arts and Media'],"['Drama', 'Thriller']",2021
Solitary,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/4pyngXpTyBD2FbvcnlvoUaUlo1l.jpg,2021-12-31,Solitary,0.0,0,,Released,0,0,,[],['Drama'],2021
Algo así como una historia de amor,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/aSFZqutXXWRuvBM11rB3ox3wzPD.jpg,2021-12-31,Algo así como una historia de amor,0.0,0,,Released,0,0,,['Bufonada'],"['Comédia', 'Romance']",2021
Water Mining (Eaton Canyon),,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/idpXMTLij45nn6DkTlHLgdiVIFg.jpg,2021-12-31,Water Mining (Eaton Canyon),0.0,0,,Released,0,0,,[],[],2021
Will to Live,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/orYIwA0kZmkpe4OuABr4X3ur2DT.jpg,2021-12-31,Will to Live,0.0,0,tt14825198,Released,0,0,,['Santorini Studios'],['Drama'],2021
Perpendicolare Avanti,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/q3rw5kQ6j45FikmmGpwZOmbdi08.jpg,2021-12-31,Perpendicolare Avanti,0.0,0,,Released,0,0,,[],[],2021
Vyras už pinigus,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/2zwhc86YmfIKSijK0yFBGpmnyax.jpg,2021-12-31,Vyras už pinigus,2.0,1,tt16119200,Released,0,0,,[],"['Comédia', 'Romance']",2021
The Cure,,0.895,https://image.tmdb.org/t/p/w220_and_h330_face/tr9dM3CD9fIgAC90xX9VaB6Cdf7.jpg,2021-12-31,The Cure,0.0,0,tt16365896,Released,0,500,,[],"['Mistério', 'Romance']",2021
A Haunting in Ravenwood,,0.84,https://image.tmdb.org/t/p/w220_and_h330_face/irRETI08jnisCRTVEbSDRnmRLXO.jpg,2021-12-31,A Haunting in Ravenwood,0.0,0,tt15845768,Released,0,0,,['Raptor FX Studio'],['Terror'],2021
Asli Cricket,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/ra3XEhoG1f4N9ZtsVx9uOKPxQ30.jpg,2021-12-31,Asli Cricket,0.0,0,tt16043032,Released,0,0,,[],[],2021
Diiyeghan naii Taii Tr'eedaa,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/i0RFsSS7IICziST2E6NCI83lROS.jpg,2021-12-31,Diiyeghan naii Taii Tr'eedaa,0.0,0,tt15384698,Released,0,0,,[],['Documentário'],2021
Being prepared,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/A4aNKKFvZkh2uDcbEMXY24ZwnHr.jpg,2021-12-31,Being prepared,0.0,0,,Released,0,0,,"['ONF | NFB', 'Nunavut Independent Television Network']",['Documentário'],2021
Hilangnya Mahkota Atlantis,,0.687,https://image.tmdb.org/t/p/w220_and_h330_face/3baaOTzeI3t9tMowYnpdCs46HnT.jpg,2021-12-31,Hilangnya Mahkota Atlantis,0.0,0,,Released,0,0,,['Trans 7'],"['Comédia', 'Ação']",2021
Hard Front,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/zbCnw3J4HWrLUHnqsNVUMVHbZ7T.jpg,2021-12-31,Hard Front,0.0,0,,Released,0,0,,['VCA School of Film and Television'],"['Terror', 'Ação']",2021
Incarnation,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/mqvkpktfB4cq7ZDHft1vD9beZ07.jpg,2021-12-31,Incarnation,0.0,0,,Released,0,0,,['VCA School of Film and Television'],['Ficção científica'],2021
Sam,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/3BtpqaHE8qs53wquSKgU9S1AYxm.jpg,2021-12-31,Sam,0.0,0,,Released,0,0,,['VCA School of Film and Television'],"['Comédia', 'Thriller']",2021
No Thoughts Head Empty,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/rIPG8SikFMCKfYpDwdAQJyEgQ2R.jpg,2021-12-31,No Thoughts Head Empty,0.0,0,,Released,0,0,,['VCA School of Film and Television'],['Animação'],2021
My AI Lover,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/szcwyeehbjr3GzL5No5WNvNql9u.jpg,2021-12-31,My AI Lover,0.0,0,tt16751362,Released,0,0,,['VCA School of Film and Television'],['Documentário'],2021
The Time It Takes,,1.145,https://image.tmdb.org/t/p/w220_and_h330_face/hObKEoKhFbzxEGXguZlu5qfQsKQ.jpg,2021-12-31,The Time It Takes,0.0,0,,Released,0,0,,['VCA School of Film and Television'],['Documentário'],2021
Dark Eyes,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/wKSvn8Jgdm76fYa5YpORJAC0VWR.jpg,2021-12-31,Dark Eyes,0.0,0,,Released,0,0,,['VCA School of Film and Television'],['Documentário'],2021
First Chair,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/fpFzdvvV2FSFoe2RikwtNufAZvh.jpg,2021-12-31,First Chair,0.0,0,,Released,0,0,,['VCA School of Film and Television'],['Documentário'],2021
Petit cogneur,,1.4,https://image.tmdb.org/t/p/w220_and_h330_face/jtPFRReR9uwyEylnGQE0WFG4Gs0.jpg,2021-12-31,Petit cogneur,0.0,0,tt21367738,Released,0,0,,"['ARTE', 'Papy3D Productions']","['Animação', 'Drama']",2021
Mirage,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/yL25xcoQ0ZgacCcMdVe0SvabBse.jpg,2021-12-31,Mirage,0.0,0,,Released,0,0,,[],[],2021
A Nice Big Zero for You,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/i6BYfK86L44lHWgJ4XvzZkAGIRm.jpg,2021-12-31,A Nice Big Zero for You,0.0,0,,Released,0,0,,[],[],2021
Pinhole Park,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/j0kqSqIOZHCnsaDjOXwUWy3Ide6.jpg,2021-12-31,Pinhole Park,0.0,0,,Released,0,0,,[],[],2021
Mein Wenn und Aber,,1.764,,2021-12-31,Mein Wenn und Aber,0.0,0,tt14350762,Released,0,0,Trilogy by Marko Doringer,['Filmfabrik Marko Doringer Filmproduktion'],['Documentário'],2021
ಹುಟ್ಟು ಹಬ್ಬದ ಶುಭಾಶಯಗಳು,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/igqqasyMVaM4HQ8gW6uoPJu0QvG.jpg,2021-12-31,ಹುಟ್ಟು ಹಬ್ಬದ ಶುಭಾಶಯಗಳು,0.0,0,tt12077762,Released,0,0,,['Crystal Paark Cinemas'],[],2021
#Eindejaars3,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/s4yjsx7M5YIqhuAai4vWKrsSepK.jpg,2021-12-31,#Eindejaars3,0.0,0,,Released,0,0,,[],['Comédia'],2021
521 Anos | Siia Ara,"Urucu vermelho de sangue. Sangue nas mãos ou nas veias, Abya Yala Terra Indígena. Cantos que são falas, armas que são falos. Passarão. Esturro de onça demarcando território. Novos presságios de rasga mortalha. 521 Anos de pátrias amadas desde a invasão europeia. O coma colonial segue, muita gente adormecida em ideias sobre nós, os povos originários. A história foi mal contada, mas nós vamos descontar, vamos recontar. Vamos despertar cada vez mais. Já não dormimos. Cada vez mais vamos ser a natureza. Os próximos 521 Anos vão ser nossos. Os próximos 521 Anos vão ser indígenas.",0.6,https://image.tmdb.org/t/p/w220_and_h330_face/9cAdSGdSUnzaBACBOlFPNnlPjPV.jpg,2021-12-31,521 Anos | Siia Ara,0.0,0,,Released,0,0,,[],[],2021
Acı ve Tatlı,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/anoKhnIszwpvthwgrvkfHSshjaM.jpg,2021-12-31,Acı ve Tatlı,0.0,0,tt16244474,Released,0,0,,[],['Documentário'],2021
العراق بخير ( ليلية رأس السنة),,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/aqpsbbGgcpNaAoaDHxa0Vd6kiId.jpg,2021-12-31,العراق بخير ( ليلية رأس السنة),10.0,1,,Released,0,0,,['UTV IRAQ'],"['Família', 'Música']",2021
Zombies! Prepping for the Apocalypse,,5.289,https://image.tmdb.org/t/p/w220_and_h330_face/qSrHo1HEEMBuK2HrwZGPGJZg7gP.jpg,2021-12-31,Zombies! Prepping for the Apocalypse,0.0,0,tt15750642,Released,0,0,,[],[],2021
גב האומה על הבמה,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/eC0yAXLsVWlIdgoFJuOVZGL5znF.jpg,2021-12-31,גב האומה על הבמה,0.0,0,,Released,0,0,,[],[],2021
以年为单位的恋爱,,1.205,https://image.tmdb.org/t/p/w220_and_h330_face/aHjAixlzQHsbl8COGQxySIZrgan.jpg,2021-12-31,以年为单位的恋爱,6.5,2,tt18266996,Released,0,0,,[],"['Drama', 'Romance']",2021
CACHEMIRE summer tour - IL FILM,,0.6,,2021-12-31,CACHEMIRE summer tour - IL FILM,0.0,0,,Released,0,0,,['Tamago'],['Comédia'],2021
Feliz Cano Novo,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/iRx87WT66UkL0x8PxPGYgQDgjrO.jpg,2021-12-31,Feliz Cano Novo,0.0,0,,Released,0,0,,['Take04'],['Comédia'],2021
Scarlett,,1.152,https://image.tmdb.org/t/p/w220_and_h330_face/vVuJmsydZzkS2aW1VTc3kwTdpxq.jpg,2021-12-31,Scarlett,0.0,0,tt10951170,Released,0,0,,[],['Cinema TV'],2021
Tà Năng Phan Dũng,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/AcbJJxOiwX7vsQH6Nxd6Wiv0bYo.jpg,2021-12-31,Tà Năng Phan Dũng,3.0,1,tt12257650,Released,0,0,,[],"['Terror', 'Aventura', 'Thriller', 'Drama']",2021
第72回NHK紅白歌合戦,,0.953,https://image.tmdb.org/t/p/w220_and_h330_face/h9VZGJfNGGnNehUpPfIQm9pWtSn.jpg,2021-12-31,第72回NHK紅白歌合戦,0.0,0,,Released,0,0,,['NHK'],[],2021
Dolf Jansen: Het Jansen Vaccin (Oudejaars 2021),,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/yPMNwzcjVJsnRBMNbARWnVyjelX.jpg,2021-12-31,Dolf Jansen: Het Jansen Vaccin (Oudejaars 2021),0.0,0,,Released,0,0,,['Bunker Theaterzaken'],['Comédia'],2021
孤独のグルメ2021大晦日スペシャル～激走！絶景絶品・年忘れロードムービー,,1.4,https://image.tmdb.org/t/p/w220_and_h330_face/ceAnEF6W7v3y2cZCz9j4YWUtv7k.jpg,2021-12-31,孤独のグルメ2021大晦日スペシャル～激走！絶景絶品・年忘れロードムービー,0.0,0,,Released,0,0,孤独のグルメ Collection,[],['Cinema TV'],2021
シン・ヘドラ,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/hIa2ZDN8qXU3o02t2L9mzLISUhu.jpg,2021-12-31,シン・ヘドラ,0.0,0,,Released,0,0,,[],[],2021
Les coulisses du Bye Bye,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/lCRFn0mDcmahqpKXqRnUojdhaJr.jpg,2021-12-31,Les coulisses du Bye Bye,0.0,0,,Released,0,0,,[],['Comédia'],2021
Un Cuento de Vanidad,,1.175,https://image.tmdb.org/t/p/w220_and_h330_face/3hJXdxQkRkBM0TJJeUKxYbV2c1Q.jpg,2021-12-31,Un Cuento de Vanidad,10.0,1,,Released,0,0,,['TVE'],['Comédia'],2021
Áramótaskaup 2021,,0.726,https://image.tmdb.org/t/p/w220_and_h330_face/fCPnS7ro93ntIewMiExFmSUkJRd.jpg,2021-12-31,Áramótaskaup 2021,6.0,1,tt16532608,Released,0,0,,"['RÚV', 'Republik Film Productions']","['Comédia', 'Cinema TV']",2021
Doğu Demirkol - Yılbaşı Özel Stand-Up,,0.645,https://image.tmdb.org/t/p/w220_and_h330_face/6pgaAqp398K4HPM3wKy7NBDMQvx.jpg,2021-12-31,Doğu Demirkol - Yılbaşı Özel Stand-Up,0.0,0,tt16967734,Released,0,0,,['BKM'],['Comédia'],2021
空色ユーティリティ,"Um especial de 15 minutos produzido pelo Yostar Picture e fala sobre Minami, que está aprendendo a jogar golfe, por mais frustrante e desanimador que seja ao errar os buracos e marcar pontos ruins, nunca se esquece o quão viciante e divertido esse esporte é. E também é claro, ao lado de suas duas amigas, Haruka e Ayaka, dando conselhos e ajudando a melhorar.",1.021,https://image.tmdb.org/t/p/w220_and_h330_face/c67w0Fge21YHnLqmdN6tjFCWpHQ.jpg,2021-12-31,Sorairo Utility,6.0,1,tt16156710,Released,0,0,,['Yostar Pictures'],"['Animação', 'Comédia']",2021
2021-2022德云社跨年相声专场,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/xqrWzwotBN91jBA4NsW1tMCvSlC.jpg,2021-12-31,2021-2022德云社跨年相声专场,0.0,0,,Released,0,0,,[],[],2021
New Year's Eve Live: Nashville's Big Bash,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/zQYBjZkJvCW4iWiptfCgXqpndKY.jpg,2021-12-31,New Year's Eve Live: Nashville's Big Bash,0.0,0,tt16120856,Released,0,0,,[],[],2021
GCW Til Infinity,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/7Vf8ZCbBeL1FN6IzLgZisVNcRwD.jpg,2021-12-31,GCW Til Infinity,0.0,0,,Released,0,0,,[],[],2021
Silvester für Eins,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/1EkdWYZQ7x1sVc8GySKcfsslork.jpg,2021-12-31,Silvester für Eins,0.0,0,,Released,0,0,,['Florida Entertainment'],['Comédia'],2021
Pati Patni and Joe,,0.936,https://image.tmdb.org/t/p/w220_and_h330_face/4IigqtVatOWUe3N1vDCiDy3vUKK.jpg,2021-12-31,Pati Patni and Joe,6.0,1,tt4799820,Released,0,0,,[],[],2021
五月天「好好好想见到你」五月天线上跨年演唱会,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/pzOhGJr2CCHn0s4BTDqEBh8CsCe.jpg,2021-12-31,五月天「好好好想见到你」五月天线上跨年演唱会,0.0,0,,Released,0,0,,[],[],2021
Alt Tarafı Bi' Yılbaşı,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/kzHdmjSB4IGuxZfhDiwvM7cypM3.jpg,2021-12-31,Alt Tarafı Bi' Yılbaşı,7.0,1,tt16733824,Released,0,0,,[],['Comédia'],2021
A Sister's Grudge,"Lindsey está satisfeita com sua vida administrando o restaurante dos seus pais, Jim e Annie. Porém, quando Annie morre em um acidente, Lindsey fica chocada ao descobrir que seu pai teve uma filha, em segredo, em um relacionamento anterior.",4.958,https://image.tmdb.org/t/p/w220_and_h330_face/madwZl3i6ybIFJ80d8MlRFspZ8M.jpg,2021-12-31,A Sister's Grudge,5.0,3,tt15033982,Released,0,0,,"['Benattar/Thomas Productions', 'Headlong Entertainment', 'ASG Films']","['Thriller', 'Cinema TV']",2021
Sjaak Bral: Vaarwel 2021,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/hwnEjNJfQI0IWFmOT95PjOdeS9u.jpg,2021-12-31,Sjaak Bral: Vaarwel 2021,0.0,0,,Released,0,0,,[],['Comédia'],2021
علي قنديل : موضوع حريمي شوية,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/deAqXE8DmWAEK6fNvIajhYat9hX.jpg,2021-12-31,علي قنديل : موضوع حريمي شوية,0.0,0,,Released,0,0,,[],['Comédia'],2021
Старые шишки,,1.4,https://image.tmdb.org/t/p/w220_and_h330_face/1aYLbygLG2hUQx5ZczXbuZbowXW.jpg,2021-12-31,Старые шишки,5.5,2,tt16968496,Released,0,0,,['Sverdlovsk'],['Comédia'],2021
Всё хорошо,,0.814,https://image.tmdb.org/t/p/w220_and_h330_face/2pcE6xLFsvZgr866Lbuy0iJKS2C.jpg,2021-12-31,Всё хорошо,3.5,2,tt16481200,Released,0,0,,[],"['Drama', 'Comédia']",2021
The Big New Years & Years Eve Party with Kylie and Pet Shop Boys,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/epsJPLxPZDoxdr9JPbfKbcHjxZR.jpg,2021-12-31,The Big New Years & Years Eve Party with Kylie and Pet Shop Boys,0.0,0,,Released,0,0,,[],['Música'],2021
Gary Owen: Black Famous,,1.195,https://image.tmdb.org/t/p/w220_and_h330_face/iQR1RR0jEVQuMZ6lcurTFfuinoi.jpg,2021-12-31,Gary Owen: Black Famous,5.5,1,tt16436500,Released,0,0,,[],['Comédia'],2021
Newbird,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/eFrKqu54xxi41czZt9OYUeKZin2.jpg,2021-12-31,Newbird,0.0,0,tt16757116,Released,0,4,,['Mesmerize Film'],"['Animação', 'Fantasia']",2021
冰火凤,,1.529,https://image.tmdb.org/t/p/w220_and_h330_face/pgmcRSfzFlNRgwnXLTHfWLISuiM.jpg,2021-12-31,冰火凤,0.0,0,,Released,0,0,,[],"['Fantasia', 'Aventura']",2021
Najib Amhali: Wie het weet mag het zeggen!,,0.761,https://image.tmdb.org/t/p/w220_and_h330_face/5Q3hqImL8JCMZ7x6P5iRxoBUV22.jpg,2021-12-31,Najib Amhali: Wie het weet mag het zeggen!,8.0,1,tt16761694,Released,0,0,,['Amhali entertainment'],['Comédia'],2021
Leviathan,,1.4,https://image.tmdb.org/t/p/w220_and_h330_face/z5uxyimSIYitt7QSopEaUheiY0H.jpg,2021-12-31,Leviathan,6.0,1,,Released,0,0,,[],['Animação'],2021
Kamal Kharmach: Mag ik even?,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/b2asHO6ithp3WqUzHhxHMcmKdql.jpg,2021-12-31,Kamal Kharmach: Mag ik even?,0.0,0,,Released,0,0,,['LiveComedy.be'],['Comédia'],2021
AI and I,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/alwuI7RLYaJrSrDbD1CxodnIxZt.jpg,2021-12-31,AI and I,0.0,0,,Released,0,0,,"[""Greater Milwaukee Foundation's Mary L. Nohl Fund Fellowship""]",[],2021
Münaşaka,,0.765,https://image.tmdb.org/t/p/w220_and_h330_face/qMZZiA9hnIAhPez1VfOvGuWnv92.jpg,2021-12-31,Münaşaka,6.8,4,tt16148616,Released,0,0,,['BKM'],['Comédia'],2021
The Women of Tonta Club,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/rljGCp0OOkGGQh7DX1xhea7ABjF.jpg,2021-12-31,The Women of Tonta Club,6.0,1,,Released,0,0,,['Kapitana Entertainment Media'],['Comédia'],2021
Bad Company,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/lKHvqlE9AYAJVwvOchyM0SmXCXn.jpg,2021-12-31,Bad Company,8.0,1,,Released,0,0,,[],"['Drama', 'Thriller']",2021
明け方の若者たち,,1.912,https://image.tmdb.org/t/p/w220_and_h330_face/y66N20PzbBxj9ZBgb6e3v3uGZU4.jpg,2021-12-31,明け方の若者たち,3.5,2,tt15534052,Released,0,0,,['Horipro'],"['Drama', 'Romance']",2021
"home is where, in chicago 2021 [a poem]",,0.925,https://image.tmdb.org/t/p/w220_and_h330_face/gcyCXuu2IF93j2VB7tFwKbUa95q.jpg,2021-12-31,"home is where, in chicago 2021 [a poem]",10.0,1,,Released,0,0,,['Prairie Creek Productions'],[],2021
A Lockdown Christmas,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/2NCaSas1IvD4kKTaFZWRfjUhhIh.jpg,2021-12-31,A Lockdown Christmas,0.0,0,tt16752546,Released,0,0,,[],['Documentário'],2021
Tequila Dream,,0.6,,2021-12-31,Tequila Dream,0.0,0,,Released,0,0,,['Apollo Studios'],"['Romance', 'Comédia']",2021
Ava: A Twist In The Road,,1.145,https://image.tmdb.org/t/p/w220_and_h330_face/hKldkPDOvvbyyYVmVED2SXclwvE.jpg,2021-12-31,Ava: A Twist In The Road,0.0,0,tt13451514,Released,0,0,,[],['Drama'],2021
தமிழ் ராக்கர்ஸ்,,0.6,https://image.tmdb.org/t/p/w220_and_h330_face/hOoMQIANxXhRUPkrtSYHYuZaFSm.jpg,2021-12-31,தமிழ் ராக்கர்ஸ்,6.0,1,tt15135188,Released,0,0,,['Jaswanth Super Cinemas'],"['Comédia', 'Thriller']",2021
